text,is_toxic
@USER dün gece mevzusu oldu zaten kimse almadi gruba. birak carla ben biliyorum neyin ne olduğunu. kafam kadar yiğit ayrildi diye bildirim geliyor o gruba adam olan gelir sorar ne oldu ne bitti diye. ama çoğunluğun umrunda olmadığım ve nefret edildigim için çok doğal bunlar.,False
Yatağa kendini yüz üstü atıp debelenmeli falan mı ?,False
18) Özge'yi abla kardeş veya anne kız olarak kiminle izlemek istersiniz? #ÖzgeGürel,False
Kaba odun aldatmaya meraklı ve bakımsızsonız çünkü,True
@USER Başkanım yayın açında günümüz güzel geçsin,False
Kimse bıraktığınız gibi kalmaz o yüzden ya bırakmayacaksınız ya da aynı kişi olmasını umacak kadar salaklaşmayacaksınız.,True
nişanlanmakla nikâh münakid olmaz   nişanlanmakla nikâh münakid olmaz   nişanlanmakla nikâh münakid olmaz   nişanlanmakla nikâh münakid olmaz   nişanlanmakla nikâh münakid olmaz,False
MADDE1 Hayatta en hakiki mürşit uykudurMADDE2 Uyku cin'de de olsa gidip uyuyacaksınMADDE3 Ne olursan ol UYU,False
"İçinde ADALET ve KALKINMA gibi değerli kelimeler bulunan Sn. iktidar partisi ve onun Sn.yöneticileri;   Gün; tarih yazan bir Millet'in değerli evlatları olan biz #EYT mağduriyetine kulak verme,bu toplumsal sorunu çözme günüdür.   Gün,el ele verme günüdür   #EytTeklifiKomisyondanGeçmeli",False
#GeceyeNotlarBırakalım anasına bak kızını al derken anasının neresine bakıp kızını alacaksınız :),True
ya behlul yine bana bulasacak tarafindan mi kalktin bro😒😒😒😒,False
yo ben genelde senle aynı fikirdeyim,False
@USER Keşke o güne ve seneye dönebilsek 😕,False
"Ilk önce grip oldum, geçti sonra tekrar oldum. Sonra 20lik diş çıkarırken aynı zamanda böbrek taşı düşürüyorum. VE BUNLARIN HEPSİ AYNI ZAMANDA OLUYOR.",False
Beni çikolatayla  mutlu eden herkesi seviyorum ya,False
"kızlar bazen olmuyorsa olmuyordur yani allah'ın bahşetmediği güzelliği sana 20 liralık fondöten mi sağlayacak, bir de tüm tester'ı yüzüne boşaltıp ""nasıl olmuş"" diye soruyorsun valla ne diyim şahtın şahbaz oldun mu deyim hâlâ çirkinsin işte",True
"#çukur’un fragmanında beğendiğim tek şey vartolunun bağırışı sonunda ya iki gün iyi oldu hemen tepesine çıktılar adamın bunlara kötü olmak lazımmış shsjdj çukuru dümdüz etmek isteyen adam döndü, etsin de zaten 👊",False
@USER Bir gun erken kalkbir denize inRuhunu martılara ekleyuzunde dalga bulunsunHayat Böyle Bir Şey RGPKTo3Mbt,False
Bu saatlerde canım çok pis balkon havası çekiyor böyle oturup müzik dinlemektik ama yemek vaktidir çoluk çocuk bekler,False
Sen biliyorsan sen paylaş bizde bilelim .,False
"@USER Seni sürekli hayal kırıklıgına ugratan birini sevmek kadar kötüsü yoktur,M,D",False
velet misin aq bida gormim,True
Grip olmanın vakti mıydı ya,False
@USER Gerzek iş arkadaşlarım çıkmış. Teşekkür ederim ☺️,True
@USER Hdp sol projesi!Öcalan mit ajanı! Bunu hüdapar Barış çağrısı yaparken sırtlanlar gibi saldırırken düşünecektiniz ! Belki güzel bi karşılık verseydiniz hüdaparın Erdoğan fikrini değiştirirdiniz! Ama aksine hüdaparın Erdoğan kararını ne kadar doğru olduğnu sağladınız    #OyumHÜDAPARa,False
@USER @USER Cok hayvanisttirler kendileri  ama Insanlara gelince 40.000 kisiden fazla insanin katilidirler!,True
oraya mi konuslanmislar cok zekice,False
@USER sprey yapıyor adamın üstüne gitmeyin,False
neee inanmıyorum gerçekten bulunmasından ümidi kesmiştim fahrettin be,False
senin de rengin belliymis kahpe rengi.d,True
RUH HALIM Mezun degil direk emekli olmak istiyorum,False
@USER @USER Aynı sezondan bahsediyoruz? Daha kendi başkanının yediği haltları bilmiyorsun bize suç atıyorsun. Mecnun mahkemeye delil getirmek istedikçe hakimin mahkemeyi ertelemesini de mi yok sayacaksın?,True
Kimse bana sıkılacaksın demedi. Bana böyle bir şey söylenmedi. Söylenseydi gelmezdim.,False
@USER Teşekkür ederim Gülnaz Hanım Günaydınlar 😀,False
Sevgiyi nefrete dönüştürenlere ödül vermek lazım büyük başarı,False
Daha yeni netflixte bi yemek programını sansürlü izledim gerçekten diyecek söz yok,False
@USER İşin garibi bağımlılık da yapıyor şuan kendim bakıyorum onlara snjcnsjfj,False
@USER Şimdi mi ?  Neyse yolunuz açık olsun bebişlerim,False
kandil simidi aldim simdi de tekele gidiyorum her kesimden halki kucaklayacagiz allahin da izniyle,False
"Hocam, kimse birinci olma derdinde değil konum koruma derdinde. sorumluluk alıp sorun çözeyim diyen yok. diyenlerin de teknik olarak imkanları yok... yani muhalefet de dahil hep mevcudu koruma pozisyonunda.",False
"Dost dediğin yanında sana Allah'tan bahseden, Sen yokken de Allaha senden bahsedendir 💑",False
"Travmalarımızı gösterip ""bunlar yüzünden böyleyim"" neden diyemeyiz?",False
@USER Jailson yine ananı hatırlattı kobrayla,True
@USER @USER @USER @USER @USER 👍👏👍👏harika ama yinede çok az,False
Belirtmiş olduğunuz konu ile ilgili 444 19 61 nolu KYK KİM’den (Kurumsal İletişim Merkezi) 7/24 bilgi alabilirsiniz. İyi geceler dileriz.,False
ele layığı ilk dinleyişimde ezberledim tuğkan sevgimizi kimse sorgulamasın,False
@USER @USER @USER Onu bunu birakin valinin twitterini soyleyin hala tatil icin vaktimiz var....,False
Kenarın dilberine bak seni kim alır tezek görünümlü,True
Hhheeeeeeerrrr aşşşşkıııınnnn sonunnndaaaaaa gööözzzyaşıııı vardıırrr akaaaar damla damlaaa selll olurrrr gideeer diye evde dans ederek dolanıyorum?,False
"Cihatlar, Lefterler, Canlar, Fikretler , hepsi gitti birer efsane olma yolunda..  😓",False
"@USER osman abi, sana göre komisyonda kaldırılır mı 21 gün şartı?       ALLAH için cevap ver :)",False
@USER Bir seçim için şehit üzerinden algı kasanların Allah cezasını versin ya,True
"@USER Telefonlara bakmiyosunuz,mail atiyorum cevap vermiyosunuz,iletisim kutusundan yazıyorum sallamiyosunuz.Cevap verin kardeşim bana cevap",False
"@USER @USER @USER @USER Günaydın ,çay olduysa alırım bi dal 😂",False
@USER Basit işler için yapılmış basit makineler olamaz mıyız? Sonuçta Mercedes yapan insan da var Tofaş yapan da.,False
"Evladımız, eşimiz hapse girmrsin diye analar, bacılar, yeni eşler tüm aile seferber olmuş başka bir kadının nafakasını temin etmeye çalışıyor. Ki o ana belki yemeyip yedirip, giymeyip giydirip o evladı o güne getirdi. Bir gün olsun o elin kadınının yediği gibi maaşını yemedi.",False
